nasa_host,planet_count,status,hyg_id,hyg_name,hyg_distance_ly,nasa_distance_ly,method,evidence,angular_separation_arcsec,distance_difference_percent,candidate_hyg_ids,notes
EPIC 220492298,1,unmatched_other,,,,2036.885717606388,unassigned,EPIC 220492298,,,,Position candidates require review; component identity is preserved.
EPIC 220674823,2,unmatched_other,,,,797.7458842573825,unassigned,EPIC 220674823,,,,Position candidates require review; component identity is preserved.
EPIC 228836835,1,unmatched_other,,,,489.63900048348376,unassigned,EPIC 228836835,,,,Position candidates require review; component identity is preserved.
EPIC 229004835,1,unmatched_other,,,,397.816195464889,unassigned,EPIC 229004835,,,,Position candidates require review; component identity is preserved.
EPIC 246851721,1,unmatched_other,,,,1215.363033413455,unassigned,EPIC 246851721,,,,Position candidates require review; component identity is preserved.
EPIC 248847494,1,unmatched_other,,,,1800.011386725826,unassigned,EPIC 248847494,,,,Position candidates require review; component identity is preserved.
EPIC 249893012,3,unmatched_other,,,,1047.9273953487875,unassigned,EPIC 249893012,,,,Position candidates require review; component identity is preserved.
FU Tau,1,unmatched_other,,,,,unassigned,FU Tau,,,,Position candidates require review; component identity is preserved.
G 192-15,2,unmatched_other,,,,31.08642097911161,unassigned,G 192-15,,,,Position candidates require review; component identity is preserved.
G 196-3,1,unmatched_other,,,,71.07338858101097,unassigned,G 196-3,,,,Position candidates require review; component identity is preserved.
G 261-6,1,unmatched_other,,,,34.65965979082516,unassigned,G 261-6,,,,Position candidates require review; component identity is preserved.
G 264-012,2,unmatched_other,,,,52.214374508673444,unassigned,G 264-012,,,,Position candidates require review; component identity is preserved.
G 268-110,1,unmatched_other,,,,,unassigned,G 268-110,,,,Position candidates require review; component identity is preserved.
G 9-40,1,unmatched_other,,,,91.08764854322122,unassigned,G 9-40,,,,Position candidates require review; component identity is preserved.
GJ 1002,2,matched_selected,117960,GJ 1002,15.326740501665203,15.814246439438419,catalog identifier,GJ 1002,32.50194269882626,3.18075417092271,,
GJ 1061,3,matched_selected,118236,GJ 1061,13.99797941884719,11.979006209505005,catalog identifier,GJ 1061,21.56520575427824,14.423318887180212,,
GJ 1132,2,matched_outside_radius,118673,GJ 1132,56.23392570765458,41.138103921412835,catalog identifier,GJ 1132,18.616797033300422,26.844687786374653,,Catalog distances differ by >20%; HYG controls selection.
GJ 1148,2,matched_outside_radius,56879,GJ 1148,36.21542571253403,35.92384191085526,catalog identifier,GJ 1148,10.316986767645611,0.8051370263966019,,
GJ 1151,1,matched_selected,118777,GJ 1151,26.778090923300063,26.210741904261788,catalog identifier,GJ 1151,61.41601826681628,2.1187059998538356,,
GJ 1214,1,matched_outside_radius,119137,Onkaria,42.13907784462552,47.75809991992958,catalog identifier,GJ 1214,12.951511898883654,13.334468533038176,,
GJ 1252,1,matched_outside_radius,119342,GJ 1252,77.656202752468,66.44783883223212,catalog identifier,GJ 1252,49.812959049321435,14.433314433314427,,
GJ 1265,1,matched_outside_radius,119480,GJ 1265,34.04550733158453,33.43918262540911,catalog identifier,GJ 1265,21.616548888278487,1.7809242795830795,,
GJ 1289,1,matched_selected,119588,GJ 1289,26.51683966474895,27.238852038100507,catalog identifier,GJ 1289,23.81582573601563,2.722844737457107,,
GJ 143,2,matched_outside_radius,16030,Gl 143,54.8161239337199,53.228720843372514,catalog identifier,GJ 143,8.172694413617005,2.895868909423022,,
GJ 15 A,2,matched_selected,1472,Groombridge 34,11.700207737832732,11.618603412128003,catalog identifier,GJ 15 A,52.313009655698956,0.6974604856019859,,
GJ 160.2,1,matched_outside_radius,19117,Gl 160.2,75.4119207173991,84.330014553308,catalog identifier,GJ 160.2,12.093689984398019,11.82584099578744,,
GJ 163,3,matched_outside_radius,19346,Gl 163,48.906496525870224,49.342567602877516,catalog identifier,GJ 163,21.901442254159456,0.8916424360445023,,
GJ 179,1,matched_outside_radius,22574,Gl 179,40.07809569383342,40.299882030680806,catalog identifier,GJ 179,5.312157454376197,0.5533854166666635,,
GJ 180,3,matched_outside_radius,22709,Gl 180,39.5246083208481,38.94535459402317,catalog identifier,GJ 180,11.92958236413001,1.4655520988917585,,
GJ 2030,2,unmatched_other,,,,120.93487098083583,unassigned,GJ 2030,,,,Position candidates require review; component identity is preserved.
GJ 2056,1,unmatched_other,,,,92.76996313948418,unassigned,GJ 2056,,,,Position candidates require review; component identity is preserved.
GJ 2126,1,unmatched_other,,,,124.36016525961706,unassigned,GJ 2126,,,,Position candidates require review; component identity is preserved.
GJ 229,2,matched_selected,29222,Gl 229,18.76508103555511,18.774343876682266,catalog identifier,GJ 229,11.306648990936866,0.049362116313831014,,
GJ 238,1,matched_outside_radius,31223,Gl 238,53.6706627351787,49.62208361858076,catalog identifier,GJ 238,14.682398653630415,7.543374555619706,,
GJ 251,2,matched_selected,118447,Gl 251,18.787911981995283,18.201384967947263,catalog identifier,GJ 251,19.18910387902876,3.1218318172349133,,
GJ 27.1,1,matched_outside_radius,3137,Gl 27.1,78.23382569740436,76.99312683656987,catalog identifier,GJ 27.1,9.330129259979786,1.585885452711089,,
GJ 273,2,matched_selected,36107,Luyten's Star,12.402422419056881,19.31346406122916,catalog identifier,GJ 273,0.09778996232322368,55.72332088570979,,Catalog distances differ by >20%; HYG controls selection.
GJ 3021,1,matched_outside_radius,1291,GJ 3021,57.07019066012032,57.259687515573745,catalog identifier,GJ 3021,9.89038811169718,0.33204174239046963,,
GJ 3082,1,matched_outside_radius,5799,GJ 3082,54.017366964691604,54.20262378723471,catalog identifier,GJ 3082,5.205332173128978,0.3429578910504841,,
GJ 3090,2,matched_outside_radius,6351,GJ 3090,72.94944006563767,73.30397204821578,catalog identifier,GJ 3090,2.356524408990946,0.4859968524215004,,
GJ 3138,3,matched_outside_radius,10014,GJ 3138,97.53478166154807,92.86063461248942,catalog identifier,GJ 3138,8.257527964867906,4.792287396795777,,
GJ 317,2,matched_outside_radius,118556,Gl 317,37.48939252389563,49.56533240885805,catalog identifier,GJ 317,8.843826453724835,32.211617932366465,,Catalog distances differ by >20%; HYG controls selection.
GJ 3222,1,unmatched_other,,,,59.484954633821765,unassigned,GJ 3222,,,,Position candidates require review; component identity is preserved.
GJ 328,2,matched_outside_radius,43666,Gl 328,64.55971956162989,66.94881502840504,catalog identifier,GJ 328,16.239347291259033,3.7005976528359366,,
GJ 3293,4,matched_outside_radius,118310,GJ 3293,59.30110028370284,65.85195113014363,catalog identifier,GJ 3293,5.003707305609371,11.046761046761056,,
GJ 3323,2,matched_selected,118344,GJ 3323,20.0096937729222,17.530383452070605,catalog identifier,GJ 3323,12.506580874711236,12.390546047269762,,
GJ 3341,1,matched_outside_radius,118363,GJ 3341,67.94913663886229,77.03487485291761,catalog identifier,GJ 3341,11.065736536260447,13.371381394210221,,
GJ 3378,1,matched_selected,118405,GJ 3378,24.671446879627617,25.188209044482022,catalog identifier,GJ 3378,28.60391520640119,2.0945758364951113,,
GJ 338 B,1,matched_selected,45214,Gl 338B,20.8472633508988,20.654048312739402,catalog identifier,GJ 338 B,31.57936819340488,0.9268124784880623,,
GJ 341,1,matched_outside_radius,45776,Gl 341,34.123784862236555,34.09638772650835,catalog identifier,GJ 341,16.983445553741984,0.08028750573482148,,
GJ 3470,1,matched_outside_radius,118515,Kaewkosin,75.8502748890504,95.95977251355392,catalog identifier,GJ 3470,10.432735912240968,26.51209590725753,,Catalog distances differ by >20%; HYG controls selection.
GJ 3473,2,unmatched_other,,,,89.25073582392051,unassigned,GJ 3473,,,,Position candidates require review; component identity is preserved.
GJ 3512,2,matched_outside_radius,118554,GJ 3512,32.55040649613098,30.940400768807827,catalog identifier,GJ 3512,32.61065536911201,4.946192384769534,,
GJ 357,3,matched_selected,46970,Gl 357,29.431046899648052,30.795065486897244,catalog identifier,GJ 357,15.5214716751471,4.634624761735894,,
